region,town,ward,postcode
Rakhine,Thandwe,No (5) Ward,
Rakhine,Thandwe,No (6) Ward,
Rakhine,Thandwe,No (7) Ward,
Rakhine,Thandwe,No (8) Ward (Dwar Yar Wa Ti Myo Thit Ward),
Rakhine,Toungup,No (1) Ward,
Rakhine,Toungup,No (2) Ward,
Rakhine,Toungup,No (3) Ward,
Rakhine,Toungup,No (4) Ward,
Rakhine,Toungup,No (1) (Ah Htet Paing) Ward,
Rakhine,Toungup,No (2) (Ah Lel Paing) Ward,
Rakhine,Toungup,No (3) (Auk Paing) Ward,
Rakhine,Toungup,No (4) (Ywar Thit) Ward,
Rakhine,Toungup,No (5) (Ku Toet Seik) Ward,
Rakhine,Toungup,No (6) (Maw Hla Maw) Ward,
Rakhine,Toungup,Chaung Kauk Ward,
Rakhine,Toungup,Gu Tar Ward,
Rakhine,Toungup,Kan Paing Ward,
Rakhine,Toungup,Thein Taung Ward,
